rank,parent_name,headquarters,hqAddress,switchboardPhone,contactDomain,targetDepartment,keyContactRole,key_executive,segment,callingRegion,tradeLane,primary_bunkering_hubs,vessels_in_scope,strategy_tier,vlsfo_tonnes,mgo_tonnes,lng_tonnes,total_energy_mwh,actual_ghgie,compliance_balance_2025_tco2e,penalty_2025_y1_eur,penalty_2025_y2_eur,compliance_balance_2030_tco2e,penalty_2030_y1_eur,bio_lng_required_neg100_t,bio_lng_required_neg100_mwh,bio_lng_required_zero_t,client_savings_physical_eur,desk_margin_physical_eur,client_savings_pooling_eur,desk_margin_pooling_eur,outreachPitch,fleetCapability,lng_vessels_in_scope,conventional_vessels_in_scope,ets_exposure_2025_tco2,ets_exposure_2025_eur,ets_exposure_2026_eur,combined_regulatory_exposure_2025_eur
694,"Premier & Universal Bulkers","Copenhagen, Denmark","Søndre Havnegade 34, 6000 Kolding, Denmark","+45 39 403 2926","premierandunive.com","Commercial Operations & Compliance Group","Senior Fuel Trader & Offtake Manager","Marco Papadopoulos (Managing Director / Technical Superintendent)","General Cargo / Multi-Purpose",BALTIC_NORDIC,BALTIC_NORDIC_ROPAX,"Copenhagen, Aarhus, Gothenburg, Fredericia",3,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",12120,1092,0,150986,91.16,-991,636351,699986,-2973,1909053,106.6,1454,225.9,541841,21810,175536,29730,"With 3 vessels generating an annual FuelEU penalty exposure of €0.64M, Premier & Universal Bulkers can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.18M in client savings.",CONVENTIONAL_ONLY,0,3,28869.8,2020886,2886982,2657237
695,"Prime Steamship","Hamburg, Germany","Teerhof 59, 28199 Bremen, Germany","+49 40 699 2339","primesteamship.com","Marine Fuel Procurement & Energy Transition Desk","Head of Marine Fuel Procurement","Matteo Fischer (Managing Director / Technical Superintendent)","Crude & Product Tanker",BALTIC_NORDIC,INTRA_EU_FEEDER,"Hamburg, Bremerhaven, Wilhelmshaven, Kiel",3,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",12384,837,0,150968,91.16,-990.9,636287,699916,-2972.6,1908796,106.6,1454,225.9,541777,21810,175518.5,29727,"With 3 vessels generating an annual FuelEU penalty exposure of €0.64M, Prime Steamship can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.18M in client savings.",CONVENTIONAL_ONLY,0,3,28873,2021110,2887304,2657397
696,"Trinity & Zephyr Shipping","Istanbul, Turkey","Altunizade Mah. Kisikli Cad. 12, 34662 Uskudar/Istanbul, Turkey","+90 216 691 1277","trinityandzephy.com","Bunkering, Chartering & Decarbonization Division","Managing Director & Head of Fleet","David Schmidt (Managing Director / Technical Superintendent)","Dry Bulk Carrier",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Piraeus, Ambarli, Tuzla, Augusta, Trieste",3,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",12207,972,0,150553,91.16,-988.2,634553,698008,-2964.5,1903595,106.3,1450,225.3,540303,21750,175040,29646,"With 3 vessels generating an annual FuelEU penalty exposure of €0.63M, Trinity & Zephyr Shipping can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.18M in client savings.",CONVENTIONAL_ONLY,0,3,28790.2,2015314,2879016,2649867
697,"Silver Transport","Istanbul, Turkey","Kadikoy Sahil Yolu 18, 34710 Istanbul, Turkey","+90 216 703 2028","silvertransport.com","Fleet Operations & Statutory Emissions Management","VP Commercial Marine Operations","Andreas Moretti (Managing Director / Technical Superintendent)","Crude & Product Tanker",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Piraeus, Ambarli, Tuzla, Augusta, Trieste",4,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",11860,1280,0,150254,91.16,-986.2,633269,696596,-2958.6,1899806,106.1,1447,224.8,539214,21705,174686,29586,"With 4 vessels generating an annual FuelEU penalty exposure of €0.63M, Silver Transport can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,4,28725,2010750,2872499,2644019
698,"Astra & Astra Shipping","Athens / Piraeus, Greece","Vasileos Pavlou 12, 16673 Voula, Greece","+30 210 592 2609","astraandastrash.com","Green Transition & Marine Fuels Desk","Senior Fuel Trader & Offtake Manager","Georgios Weber (Managing Director / Technical Superintendent)","Dry Bulk Carrier",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Piraeus, Augusta, Trieste, Genoa",3,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",12597,573,0,150262,91.16,-986.2,633269,696596,-2958.7,1899871,106.1,1447,224.8,539214,21705,174686,29586,"With 3 vessels generating an annual FuelEU penalty exposure of €0.63M, Astra & Astra Shipping can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,3,28744.9,2012143,2874487,2645412
699,"Zephyr & Imperial Holdings","Singapore, Singapore","Marina Bay Financial Centre Tower 3, 018982 Singapore","+65 6 852 9077","zephyrandimperi.com","Green Transition & Marine Fuels Desk","VP Commercial Marine Operations","Nikos Wang (Managing Director / Technical Superintendent)","Chemical Tanker",ARA_HUB,ASIA_EUROPE,"Rotterdam, Antwerp, Hamburg, Singapore",3,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",11706,1425,0,150220,91.16,-986,633140,696454,-2957.9,1899357,106.1,1447,224.8,539085,21705,174650,29580,"With 3 vessels generating an annual FuelEU penalty exposure of €0.63M, Zephyr & Imperial Holdings can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,3,28714.7,2010029,2871470,2643169
700,"Zephyr Steamship","Athens / Piraeus, Greece","Kifisias Avenue 215, 15124 Marousi, Greece","+30 210 898 2654","zephyrsteamship.com","Green Transition & Marine Fuels Desk","Technical Fleet Director","Dimitrios Tanaka (Managing Director / Technical Superintendent)","Dry Bulk Carrier",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Piraeus, Augusta, Trieste, Genoa",3,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",12558,603,0,150174,91.16,-985.7,632948,696243,-2957,1898779,106,1446,224.7,538958,21690,174597.5,29571,"With 3 vessels generating an annual FuelEU penalty exposure of €0.63M, Zephyr Steamship can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,3,28727.2,2010904,2872716,2643852
701,"Euro Services","Copenhagen, Denmark","Strandvejen 54, 2900 Hellerup, Denmark","+45 39 825 8438","euroservices.com","Green Transition & Marine Fuels Desk","Head of Marine Fuel Procurement","Dirk van Dijk (Managing Director / Technical Superintendent)","Dry Bulk Carrier",BALTIC_NORDIC,BALTIC_NORDIC_ROPAX,"Copenhagen, Aarhus, Gothenburg, Fredericia",3,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",11883,1239,0,150030,91.16,-984.7,632306,695537,-2954.2,1896981,105.9,1445,224.5,538381,21675,174420.5,29541,"With 3 vessels generating an annual FuelEU penalty exposure of €0.63M, Euro Services can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,3,28683.1,2007817,2868313,2640123
702,"Sea & United Trading & Shipping","Limassol, Cyprus","Christodoulou Chatzipavlou 205, 3036 Limassol, Cyprus","+357 25 413 6152","seaandunitedtra.com","Green Transition & Marine Fuels Desk","Senior Fuel Trader & Offtake Manager","Stavros Economou (Managing Director / Technical Superintendent)","Crude & Product Tanker",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Limassol, Piraeus, Port Said, Augusta",3,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",11883,1239,0,150030,91.16,-984.7,632306,695537,-2954.2,1896981,105.9,1445,224.5,538381,21675,174420.5,29541,"With 3 vessels generating an annual FuelEU penalty exposure of €0.63M, Sea & United Trading & Shipping can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,3,28683.1,2007817,2868313,2640123
703,"Alpha & Vanguard Trading & Shipping","Rotterdam, Netherlands","Willemswerf 200, 3016 DR Rotterdam, Netherlands","+31 10 986 9083","alphaandvanguar.com","Fleet Operations & Statutory Emissions Management","Managing Director & Head of Fleet","Henrik de Jong (Managing Director / Technical Superintendent)","Ro-Ro & Car Carrier",ARA_HUB,INTRA_EU_FEEDER,"Rotterdam, Antwerp, Amsterdam, Flushing",4,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",12152,972,0,149927,91.16,-984,631856,695042,-2952.1,1895632,105.8,1444,224.3,537996,21660,174296,29520,"With 4 vessels generating an annual FuelEU penalty exposure of €0.63M, Alpha & Vanguard Trading & Shipping can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,4,28670.3,2006921,2867032,2638777
704,"Mediterranean Services","Istanbul, Turkey","Kadikoy Sahil Yolu 18, 34710 Istanbul, Turkey","+90 216 377 6023","mediterraneanse.com","Bunkering, Chartering & Decarbonization Division","Head of Marine Fuel Procurement","Matteo Dupont (Managing Director / Technical Superintendent)","Crude & Product Tanker",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Piraeus, Ambarli, Tuzla, Augusta, Trieste",3,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",12162,957,0,149863,91.16,-983.6,631599,694759,-2950.9,1894862,105.8,1443,224.2,537804,21645,174225,29508,"With 3 vessels generating an annual FuelEU penalty exposure of €0.63M, Mediterranean Services can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,3,28658.4,2006088,2865842,2637687
705,"Central & Star Navigation","Oslo / Bergen, Norway","Karenslyst alle 11, 0278 Oslo, Norway","+47 55 653 7629","centralandstarn.com","Green Transition & Marine Fuels Desk","Managing Director & Head of Fleet","Jan Moretti (Managing Director / Technical Superintendent)","Chemical Tanker",BALTIC_NORDIC,TRANSATLANTIC,"Gothenburg, Rotterdam, Antwerp, Bergen",3,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",12543,588,0,149825,91.16,-983.4,631471,694618,-2950.1,1894348,105.8,1443,224.2,537676,21645,174190,29502,"With 3 vessels generating an annual FuelEU penalty exposure of €0.63M, Central & Star Navigation can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,3,28660.8,2006256,2866080,2637727
706,"Global & Marine Holdings","Rotterdam, Netherlands","Rijnhaven Zuidzijde 42, 3072 AZ Rotterdam, Netherlands","+31 10 217 6668","globalandmarine.com","Bunkering, Chartering & Decarbonization Division","Senior Fuel Trader & Offtake Manager","Chen Papadopoulos (Managing Director / Technical Superintendent)","Crude & Product Tanker",ARA_HUB,INTRA_EU_FEEDER,"Rotterdam, Antwerp, Amsterdam, Flushing",3,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",11916,1179,0,149694,91.16,-982.5,630893,693982,-2947.6,1892743,105.7,1441,224,537228,21615,174030.5,29475,"With 3 vessels generating an annual FuelEU penalty exposure of €0.63M, Global & Marine Holdings can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,3,28620.4,2003428,2862041,2634321
707,"Vanguard & Nordic Holdings (Copenhagen)","Copenhagen, Denmark","Tuborg Havnevej 18, 2900 Hellerup, Denmark","+45 39 140 9383","vanguardandnord.com","Bunkering, Chartering & Decarbonization Division","VP Commercial Marine Operations","Kenji Tanaka (Managing Director / Technical Superintendent)","Dry Bulk Carrier",BALTIC_NORDIC,BALTIC_NORDIC_ROPAX,"Copenhagen, Aarhus, Gothenburg, Fredericia",4,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",11832,1260,0,149698,91.16,-982.5,630893,693982,-2947.6,1892743,105.7,1441,224,537228,21615,174030.5,29475,"With 4 vessels generating an annual FuelEU penalty exposure of €0.63M, Vanguard & Nordic Holdings (Copenhagen) can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,4,28619.1,2003337,2861908,2634230
708,"Golden Bulkers","Singapore, Singapore","Marina Bay Financial Centre Tower 3, 018982 Singapore","+65 6 481 5850","goldenbulkers.com","Commercial Operations & Compliance Group","Manager of Fuel Compliance & ESG","Jan Mavros (Managing Director / Technical Superintendent)","Dry Bulk Carrier",ARA_HUB,ASIA_EUROPE,"Rotterdam, Antwerp, Hamburg, Singapore",5,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",12105,990,0,149605,91.16,-981.9,630508,693559,-2945.8,1891587,105.6,1441,223.8,536843,21615,173924.5,29457,"With 5 vessels generating an annual FuelEU penalty exposure of €0.63M, Golden Bulkers can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,5,28608.2,2002574,2860823,2633082
709,"Global Maritime","Limassol, Cyprus","Makarios III Avenue 284, 3105 Limassol, Cyprus","+357 25 343 9370","globalmaritime.com","Marine Fuel Procurement & Energy Transition Desk","VP Commercial Marine Operations","Chen Ferrari (Managing Director / Technical Superintendent)","Crude & Product Tanker",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Limassol, Piraeus, Port Said, Augusta",3,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",12303,792,0,149512,91.16,-981.3,630122,693134,-2944,1890431,105.6,1440,223.7,536522,21600,173817.5,29439,"With 3 vessels generating an annual FuelEU penalty exposure of €0.63M, Global Maritime can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,3,28595.5,2001685,2859549,2631807
710,"Ocean Maritime","London, United Kingdom","St Mary Axe 30, London EC3A 8EP, United Kingdom","+44 20 221 5145","oceanmaritime.com","Marine Fuel Procurement & Energy Transition Desk","Technical Fleet Director","Nikos Smith (Managing Director / Technical Superintendent)","Dry Bulk Carrier",UK_CONTINENT,TRANSATLANTIC,"Felixstowe, Southampton, London Gateway, Liverpool",3,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",11709,1359,0,149472,91.16,-981.1,629994,692993,-2943.2,1889917,105.5,1439,223.7,536459,21585,173782.5,29433,"With 3 vessels generating an annual FuelEU penalty exposure of €0.63M, Ocean Maritime can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,3,28573.2,2000124,2857316,2630118
711,"Vanguard & Premier Bulkers","Limassol, Cyprus","Omonoias Avenue 140, 3045 Limassol, Cyprus","+357 25 586 6793","vanguardandprem.com","Green Transition & Marine Fuels Desk","Head of Marine Fuel Procurement","Jan Mavros (Managing Director / Technical Superintendent)","Dry Bulk Carrier",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Limassol, Piraeus, Port Said, Augusta",3,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",12021,1032,0,149146,91.16,-978.9,628581,691439,-2936.8,1885808,105.3,1436,223.2,535241,21540,173392.5,29367,"With 3 vessels generating an annual FuelEU penalty exposure of €0.63M, Vanguard & Premier Bulkers can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,3,28519.4,1996358,2851940,2624939
712,"Marine Chartering","Limassol, Cyprus","Spyrou Kyprianou 84, 4043 Limassol, Cyprus","+357 25 218 2160","marinecharterin.com","Fleet Operations & Statutory Emissions Management","Manager of Fuel Compliance & ESG","David Taylor (Managing Director / Technical Superintendent)","Dry Bulk Carrier",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Limassol, Piraeus, Port Said, Augusta",5,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",12235,820,0,149069,91.16,-978.4,628260,691086,-2935.3,1884845,105.2,1435,223.1,534985,21525,173304,29352,"With 5 vessels generating an annual FuelEU penalty exposure of €0.63M, Marine Chartering can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,5,28510.1,1995707,2851009,2623967
713,"Polar Shipping","Oslo / Bergen, Norway","Kirkegata 24, 0153 Oslo, Norway","+47 55 407 5111","polarshipping.com","Green Transition & Marine Fuels Desk","Head of Marine Fuel Procurement","Dirk Smith (Managing Director / Technical Superintendent)","Dry Bulk Carrier",BALTIC_NORDIC,TRANSATLANTIC,"Gothenburg, Rotterdam, Antwerp, Bergen",3,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",11751,1269,0,148883,91.16,-977.2,627490,690239,-2931.6,1882469,105.1,1434,222.8,534280,21510,173092,29316,"With 3 vessels generating an annual FuelEU penalty exposure of €0.63M, Polar Shipping can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,3,28462.7,1992389,2846270,2619879
714,"Euro & Zephyr Tankers","Rotterdam, Netherlands","Boompjes 40, 3011 XB Rotterdam, Netherlands","+31 10 396 5244","euroandzephyrta.com","Bunkering, Chartering & Decarbonization Division","Managing Director & Head of Fleet","Kenji Ferrari (Managing Director / Technical Superintendent)","General Cargo / Multi-Purpose",ARA_HUB,INTRA_EU_FEEDER,"Rotterdam, Antwerp, Amsterdam, Flushing",5,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",11725,1285,0,148776,91.16,-976.5,627040,689744,-2929.5,1881120,105,1433,222.6,533895,21495,172967.5,29295,"With 5 vessels generating an annual FuelEU penalty exposure of €0.63M, Euro & Zephyr Tankers can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,5,28442,1990940,2844198,2617980
715,"Sea Marine","Oslo / Bergen, Norway","Karenslyst alle 11, 0278 Oslo, Norway","+47 55 334 1525","seamarine.com","Fleet Operations & Statutory Emissions Management","Technical Fleet Director","Dirk Economou (Managing Director / Technical Superintendent)","Dry Bulk Carrier",BALTIC_NORDIC,TRANSATLANTIC,"Gothenburg, Rotterdam, Antwerp, Bergen",3,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",12243,786,0,148757,91.16,-976.4,626976,689674,-2929.1,1880863,105,1432,222.6,533896,21480,172950,29292,"With 3 vessels generating an annual FuelEU penalty exposure of €0.63M, Sea Marine can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,3,28451.2,1991584,2845122,2618560
716,"Atlantic & Liberty Navigation","London, United Kingdom","Leadenhall Street 100, London EC3A 3BP, United Kingdom","+44 20 980 7583","atlanticandlibe.com","Bunkering, Chartering & Decarbonization Division","Director of Bunkering & Decarbonization","Andreas Hansen (Managing Director / Technical Superintendent)","Dry Bulk Carrier",UK_CONTINENT,TRANSATLANTIC,"Felixstowe, Southampton, London Gateway, Liverpool",3,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",12357,666,0,148632,91.16,-975.5,626398,689038,-2926.6,1879258,104.9,1431,222.4,533383,21465,172790.5,29265,"With 3 vessels generating an annual FuelEU penalty exposure of €0.63M, Atlantic & Liberty Navigation can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,3,28430.4,1990128,2843043,2616526
717,"Ocean Shipping","Rotterdam, Netherlands","Boompjes 40, 3011 XB Rotterdam, Netherlands","+31 10 447 6751","oceanshipping.com","Bunkering, Chartering & Decarbonization Division","Managing Director & Head of Fleet","Klaus van Dijk (Managing Director / Technical Superintendent)","Chemical Tanker",ARA_HUB,INTRA_EU_FEEDER,"Rotterdam, Antwerp, Amsterdam, Flushing",6,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",11508,1452,0,148286,91.16,-973.3,624985,687484,-2919.8,1874892,104.7,1428,221.9,532165,21420,172400.5,29199,"With 6 vessels generating an annual FuelEU penalty exposure of €0.62M, Ocean Shipping can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,6,28343.7,1984059,2834370,2609044
718,"Astra & Premier Navigation","Athens / Piraeus, Greece","Vasileos Pavlou 12, 16673 Voula, Greece","+30 210 847 9994","astraandpremier.com","Marine Fuel Procurement & Energy Transition Desk","Manager of Fuel Compliance & ESG","Georgios Rossi (Managing Director / Technical Superintendent)","Passenger / Ro-Pax Ferry",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Piraeus, Augusta, Trieste, Genoa",5,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",11905,1055,0,148098,91.16,-972,624151,686566,-2916.1,1872516,104.6,1426,221.6,531461,21390,172171,29160,"With 5 vessels generating an annual FuelEU penalty exposure of €0.62M, Astra & Premier Navigation can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,5,28318.1,1982267,2831815,2606418
719,"Euro & Olympia Tankers","Oslo / Bergen, Norway","Strandgaten 197, 5004 Bergen, Norway","+47 55 561 8182","euroandolympiat.com","Bunkering, Chartering & Decarbonization Division","Director of Bunkering & Decarbonization","Aris Mavros (Managing Director / Technical Superintendent)","Dry Bulk Carrier",BALTIC_NORDIC,TRANSATLANTIC,"Gothenburg, Rotterdam, Antwerp, Bergen",3,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",11436,1497,0,147999,91.16,-971.4,623765,686142,-2914.2,1871296,104.5,1425,221.5,531140,21375,172064,29142,"With 3 vessels generating an annual FuelEU penalty exposure of €0.62M, Euro & Olympia Tankers can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,3,28287.8,1980146,2828777,2603911
720,"Eagle & Cosmos Trading & Shipping","Oslo / Bergen, Norway","Conrad Mohrs veg 29, 5072 Bergen, Norway","+47 55 904 7732","eagleandcosmost.com","Commercial Operations & Compliance Group","Senior Fuel Trader & Offtake Manager","Klaus Weber (Managing Director / Technical Superintendent)","Crude & Product Tanker",BALTIC_NORDIC,TRANSATLANTIC,"Gothenburg, Rotterdam, Antwerp, Bergen",4,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",12040,900,0,147797,91.16,-970.1,622930,685223,-2910.2,1868727,104.4,1423,221.2,530435,21345,171833.5,29103,"With 4 vessels generating an annual FuelEU penalty exposure of €0.62M, Eagle & Cosmos Trading & Shipping can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,4,28264.6,1978522,2826460,2601452
721,"Ocean & Blue Fleet Management","Rotterdam, Netherlands","Willemswerf 200, 3016 DR Rotterdam, Netherlands","+31 10 369 8486","oceanandbluefle.com","Marine Fuel Procurement & Energy Transition Desk","Senior Fuel Trader & Offtake Manager","Torsten Nielsen (Managing Director / Technical Superintendent)","Dry Bulk Carrier",ARA_HUB,INTRA_EU_FEEDER,"Rotterdam, Antwerp, Amsterdam, Flushing",6,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",11658,1266,0,147788,91.16,-970,622866,685153,-2910,1868599,104.3,1423,221.1,530371,21345,171816,29100,"With 6 vessels generating an annual FuelEU penalty exposure of €0.62M, Ocean & Blue Fleet Management can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,6,28253.3,1977731,2825326,2600597
722,"Atlantic Carriers","Oslo / Bergen, Norway","Karenslyst alle 11, 0278 Oslo, Norway","+47 55 217 3947","atlanticcarrier.com","Fleet Operations & Statutory Emissions Management","Managing Director & Head of Fleet","Marco Papadopoulos (Managing Director / Technical Superintendent)","Chemical Tanker",BALTIC_NORDIC,TRANSATLANTIC,"Gothenburg, Rotterdam, Antwerp, Bergen",3,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",11916,990,0,147452,91.16,-967.8,621454,683599,-2903.4,1864361,104.1,1420,220.6,529154,21300,171427,29034,"With 3 vessels generating an annual FuelEU penalty exposure of €0.62M, Atlantic Carriers can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,3,28196.3,1973741,2819628,2595195
723,"Nordic & Eagle Lines","Singapore, Singapore","Anson Road 10, 079903 Singapore","+65 6 889 8501","nordicandeaglel.com","Commercial Operations & Compliance Group","Senior Fuel Trader & Offtake Manager","David Wang (Managing Director / Technical Superintendent)","Dry Bulk Carrier",ARA_HUB,ASIA_EUROPE,"Rotterdam, Antwerp, Hamburg, Singapore",4,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",10912,1944,0,147334,91.16,-967,620940,683034,-2901.1,1862884,104,1419,220.5,528705,21285,171285,29010,"With 4 vessels generating an annual FuelEU penalty exposure of €0.62M, Nordic & Eagle Lines can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,4,28148.7,1970409,2814868,2591349
724,"Golden & Trinity Shipmanagement","Rotterdam, Netherlands","Boompjes 40, 3011 XB Rotterdam, Netherlands","+31 10 932 1931","goldenandtrinit.com","Marine Fuel Procurement & Energy Transition Desk","Director of Bunkering & Decarbonization","Andreas Schmidt (Managing Director / Technical Superintendent)","Dry Bulk Carrier",ARA_HUB,INTRA_EU_FEEDER,"Rotterdam, Antwerp, Amsterdam, Flushing",3,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",12378,519,0,147128,91.16,-965.7,620105,682116,-2897,1860251,103.9,1417,220.2,528000,21255,171054.5,28971,"With 3 vessels generating an annual FuelEU penalty exposure of €0.62M, Golden & Trinity Shipmanagement can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,3,28146.3,1970241,2814630,2590346
725,"United Bulkers","Limassol, Cyprus","Omonoias Avenue 140, 3045 Limassol, Cyprus","+357 25 477 7208","unitedbulkers.com","Fleet Operations & Statutory Emissions Management","Managing Director & Head of Fleet","Torsten de Jong (Managing Director / Technical Superintendent)","Passenger / Ro-Pax Ferry",CENTRAL_MED_ADRIATIC,ME_AFRICA_EU_LIQUID,"Limassol, Piraeus, Port Said, Augusta",6,"Tier 3: Small Fleet & Regional Deficit / Article 21 Pooling Target",11676,1182,0,146996,91.16,-964.8,619527,681480,-2894.4,1858582,103.8,1415,220,527552,21225,170895,28944,"With 6 vessels generating an annual FuelEU penalty exposure of €0.62M, United Bulkers can neutralize compliance liabilities without vessel modifications through our Article 21 Compliance Pool, securing up to €0.17M in client savings.",CONVENTIONAL_ONLY,0,6,28104,1967280,2810402,2586807
